stt,title,dicrector_id,director,cast,country,release_year,rating,số đánh giá,content rating,listed_in,CIRCULATE,target,content_rating
7,Tử Chiến Trên Không,D145,Trần Hàm,"Duy Bao Dinh Dao, Ma Ran Do, Thai Hoa, Vo Dien Gia Huy, Kaity Nguyen, Nguyen Thanh Son,...",Việt Nam,2025,8.7,10662,T16,"Cop Drama, True Crime, Action, Crime, Thriller",release,High,6
8,Mưa Đỏ,D027,Đặng Thái Huyền,"Thân Thúy Hà, Jayvee Mai The Hiep, Do Nhat Hoang, Vi Van Hua, Nguyen Hung, Tran Gia Huy, Dinh Khang, Hoang Long,...",Việt Nam,2025,9.8,23210,T13,"Period Drama, War Epic, Action, Drama, War",release,High,5
13,Địa Đạo: Mặt Trời Trong Bóng Tối,D011,Bùi Thạc Chuyên,"Ngoc Chi Bao, John Bourdon, Damien Cole, Duy Bao Dinh Dao, Karel Granat, Thu Anh Ho, Thai Hoa, Albert Kalimullin,...",Việt Nam,2025,9.0,8087,T16,"Period Drama, War Epic, Drama, History, War",release,High,6
63,GẶP LẠI CHỊ BẦU,D116,Nhất Trung,"Diệu Nhi, Anh Tú, Lê Giang, Quốc Khánh, Ngọc Phước",Việt Nam,2024,8.6,4268,T13,"Family, Comedy, Romance",release,High,5
259,ÚT LAN: OÁN LINH GIỮ CỦA,D152,Trần Trọng Dần,"Quốc Trường, Mạc Văn Khoa,...",Việt Nam,2025,8.1,4405,T18,Horrified,release,High,8
288,CÔ DÂU HÀO MÔN,D165,Vũ Ngọc Đãng,"Uyển Ân, Samuel An, Thu Trang, Lê Giang, Kiều Minh Tuấn, NSND Hồng Vân,...",Việt Nam,2024,8.0,2807,T18,Mentality,release,High,8
