Model,Accuracy,Precision,Recall,F1 Score,Training Time (s)
Decision Tree,1.0,1.0,1.0,1.0,0.0040378570556640625
Random Forest,0.9879518072289156,0.9888123924268503,0.9879518072289156,0.9861668897813476,0.3883852958679199
Logistic Regression,0.9518072289156626,0.9283993115318415,0.9518072289156626,0.9399336476340143,0.007534503936767578
KNN,0.963855421686747,0.9404475043029259,0.963855421686747,0.9519818404050987,0.009543418884277344
SVM,0.963855421686747,0.9404475043029259,0.963855421686747,0.9519818404050987,0.0064051151275634766
